ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-28,227.11243002371657,211.8500745570291,257.1553428181002,227.11243002371657,227.11243002371657,6.013684567138239,6.013684567138239,6.013684567138239,6.013684567138239,6.013684567138239,6.013684567138239,0.0,0.0,0.0,233.1261145908548
2023-11-29,227.0440411973651,209.33947400822944,254.3929506381436,227.0440411973651,227.0440411973651,5.485970907464973,5.485970907464973,5.485970907464973,5.485970907464973,5.485970907464973,5.485970907464973,0.0,0.0,0.0,232.53001210483006
2023-11-30,226.97565237101364,208.62882243531502,254.27642800404792,226.97565237101364,226.97565237101364,4.121344662294232,4.121344662294232,4.121344662294232,4.121344662294232,4.121344662294232,4.121344662294232,0.0,0.0,0.0,231.09699703330787
2023-12-01,226.80394252260734,208.22227360712526,254.4403658748315,226.80394252260734,226.80394252260734,4.392535462098165,4.392535462098165,4.392535462098165,4.392535462098165,4.392535462098165,4.392535462098165,0.0,0.0,0.0,231.1964779847055
2023-12-04,226.28881297738852,209.5816973135313,251.75246446889776,226.28881297738852,226.28881297738852,3.9335692117805396,3.9335692117805396,3.9335692117805396,3.9335692117805396,3.9335692117805396,3.9335692117805396,0.0,0.0,0.0,230.22238218916905
2023-12-05,226.11710312898225,209.4390239102638,255.51024609430817,226.11710312898225,226.11710312898225,6.0136845671255506,6.0136845671255506,6.0136845671255506,6.0136845671255506,6.0136845671255506,6.0136845671255506,0.0,0.0,0.0,232.1307876961078
2023-12-06,225.94539328057596,209.1772447828998,253.97928270819298,225.94539328057596,225.94539328057596,5.485970907469888,5.485970907469888,5.485970907469888,5.485970907469888,5.485970907469888,5.485970907469888,0.0,0.0,0.0,231.43136418804585
2023-12-07,225.7736834321697,207.83978981691385,253.52237824246345,225.7736834321697,225.7736834321697,4.1213446623015955,4.1213446623015955,4.1213446623015955,4.1213446623015955,4.1213446623015955,4.1213446623015955,0.0,0.0,0.0,229.8950280944713
2023-12-08,225.60197358376342,207.99521833571046,252.18321573138329,225.60197358376342,225.60197358376342,4.392535462087762,4.392535462087762,4.392535462087762,4.392535462087762,4.392535462087762,4.392535462087762,0.0,0.0,0.0,229.99450904585117
2023-12-11,225.08684403854457,206.96870594725502,252.38076437647732,225.08684403854457,225.08684403854457,3.9335692117804117,3.9335692117804117,3.9335692117804117,3.9335692117804117,3.9335692117804117,3.9335692117804117,0.0,0.0,0.0,229.020413250325
2023-12-12,224.9151341901383,209.3121462431106,253.70361482383512,224.9151341901383,224.9151341901383,6.013684567142701,6.013684567142701,6.013684567142701,6.013684567142701,6.013684567142701,6.013684567142701,0.0,0.0,0.0,230.928818757281
2023-12-13,224.57311114751286,207.73802865988685,253.61622968654038,224.57311114751286,224.57311114751286,5.485970907469481,5.485970907469481,5.485970907469481,5.485970907469481,5.485970907469481,5.485970907469481,0.0,0.0,0.0,230.05908205498235
2023-12-14,224.2310881048874,205.87300535669894,251.24598592260386,224.2310881048874,224.2310881048874,4.121344662300976,4.121344662300976,4.121344662300976,4.121344662300976,4.121344662300976,4.121344662300976,0.0,0.0,0.0,228.35243276718836
